time;user;text;score1;score2;score3
02-25;徐淑芬;风秘牛肉太辣 雷辣椒皮蛋和黄辣丁还可以;口味2(好);环境2(好);服务2(好)
02-25;露娜小姐;藏着胡同里的小清新湘菜馆，店铺不大，二层有个阳光房，很喜欢，点了几个推荐菜，但是辣椒炒肉留下了深刻印象，感觉超下饭，没有辛辣，香香的，肉也很嫩，感觉配米饭可以吃掉好几碗;口味4(非常好);环境4(非常好);服务4(非常好)
02-20  更新于16-02-25 09:47;imp1020;杨梅竹斜街越来越兴盛了，从前几年如火如荼的规划装修就早有预兆。渔芙南靠着多篇自媒体软文的安利，惹得众人前来拔草，小小的店面人满为患，餐具礼品摆件，细节都彰显了老板设计师出身的眼界和品味，简洁明快不失优雅，菜色口味喜人，确实有衡阳味，北京太难得的有真正像湖南人家自家家做出的味道，实在不可多得。老板的种种巧思设计和前门新地标的杨梅竹斜街的日渐兴旺共同为渔芙南发酵着无穷化学效应，必然越来越好的店，欢迎品尝，欢迎再来，哈哈。;口味4(非常好);环境3(很好);服务3(很好)
02-21;wendyfly913;口味很好，环境不错，服务不错，比较满意;口味4(非常好);环境4(非常好);服务4(非常好)
02-19;莫娜_281;还不错 有一点咸 环境挺好的 适合朋友小聚;口味4(非常好);环境4(非常好);服务4(非常好)
02-14;王太甜妈;很好吃，爱吃辣的我们超级喜欢～;口味3(很好);环境3(很好);服务3(很好)
02-11;czmn;味道还凑合。就是辣。有一个芋头的菜还行。;口味3(很好);环境3(很好);服务3(很好)
02-07;多吃点亲;菜量不大味道好  环境好二楼适合聚会;口味3(很好);环境4(非常好);服务3(很好)
02-06;plonly;风秘牛肉巨好吃！巨好吃！擂辣椒皮蛋也是每次必吃，辣得好过瘾！;口味4(非常好);环境3(很好);服务4(非常好)
02-05;glbfzdm;菜的味道都不错就是太辣了，又馋又觉得辣好纠结哈哈哈;口味4(非常好);环境4(非常好);服务3(很好)
02-05;minzheung;很湖南口味，够辣，地方很小，布置很远特点，适合朋友小聚。如果有机会，会和另外一批朋友再去一次的;口味4(非常好);环境3(很好);服务3(很好)
02-02;yuyu19941120;装修很有格调，在杨梅竹斜街深处，僻静有老北京生活气息。湖南菜很下饭很正宗。就是每天限量供应没有吃到鱼粉，店面较小，来的人很多，好位置需要预订。点菜小哥很帅哟。两个姑娘100块吃的很饱，好评。还会再去呢。;口味4(非常好);环境3(很好);服务3(很好)
02-01;liya0301;好吃好吃，真是酒香不怕巷子深。某一天经过琉璃厂发现了这家店，里面坐的满满的，后来就在大众上找到这家店，第二天久定位来吃了。幸好定了味，不然要等一阵了…店里的装潢非常现代，特别在这种老巷子里，吃的是情调，就是拥挤啊拥挤，没办法，生意太好了…服务生小哥也非常有礼貌，颜值也不错。两个人点了5道菜，有点多，主要是看着都不错，都想试试！青椒皮蛋必点嘛，如此有特色，这种搭配第一次吃到，一是新鲜，而是美味。总之很棒，味道有点像虎皮青椒加芥末章鱼的再加点皮蛋的混合版，强力推荐，试一下有利无弊。秘制牛肉我尝了一下，没有想象中的经验，味道像加热版的牛板筋，哈哈，就是那种零食，但是当然比那个香，其实味道特别像，牛肉超薄，超小颗，也像牛板筋，不要骗我了，就是牛板筋拆的对不对！黄焖辣丁，好吃！鱼肉超级嫩，鲜美可口，重点是辣辣的没腥味，一大盆都吃完了，还喝了不少鱼汤哈哈。花菜我不喜欢啊，湿湿的，但是也不难吃，就是没啥特色，香点就完美了。总之是非常值得一试的餐厅，打算下次去试试牛蛙。;口味3(很好);环境3(很好);服务4(非常好)
01-31;SamuelWayne;味道真心好！非常地道，能吃到南方的感觉真的太幸福了。辣椒食材是湖南空运过来的，辣度比较高，但是根本停不下来，光一个小炒肉就不知道秒杀多少店。;口味4(非常好);环境3(很好);服务3(很好)
01-30;jasonfei227;渔芙南，藏在琉璃厂深处的湖南菜馆。隐于闹，小而精，聚有情。经专业人士品鉴，有点家乡的味道！嗜辣一族，值得推荐[色][色]（只是没有喝到传说中的胡子酒，很是遗憾，好这口儿的亲们要提早去！店家位置没有想象中难找）;口味4(非常好);环境4(非常好);服务3(很好)
01-27;anandalee;写的八点半打烊，八点刚过到了依然被告知；不营业了。呵呵。;口味0(很差);环境0(很差);服务0(很差)
01-27;tina224;胡同里的渔芙南，又一家有格调的湘菜馆。店小人多，最好提前订位。菜品小而精致，除了各种招牌剁椒系列，还有卤粉这样湖南满大街湘菜馆却极少见的特色。;口味3(很好);环境3(很好);服务3(很好)
01-26;Roxanne_dai;吃了好几回，每样菜都好吃，喜欢这不麻的辣！特别是擂辣椒皮蛋，被呛哭过一次，依然是至爱！！;口味4(非常好);环境4(非常好);服务4(非常好)
01-24;12mouer;姐妹大轰趴！玩的太嗨，6个人干掉11碗米饭，可惜没吃到牛肉，老板说天气太冷不杀牛，没有牛肉卖。其他的全部都好吃，排骨鹌鹑蛋那道菜要了两份，我们真是胃口太好啦。位置隐秘在杨梅竹斜街里，二层是阳光房，赶上了最冷的北京，空调不是很给力。老板和服务员清一色的男生，召唤都很及时，直到中午打烊，满店人都在一层沙发上睡着了，我们才离开。;口味4(非常好);环境3(很好);服务4(非常好)
01-23;我叫美金;朋友推荐的一家湘菜小馆。据说味道特别家乡味道。里面的菜品都是湖南当地的特色菜。小馆深藏不漏。爱吃湘菜小馆的一定喜欢这里。像我们这种第一次尝试的，就是来尝试一下。确实各种辣，但是味道很清口。说不上来的一次体验！;口味4(非常好);环境4(非常好);服务4(非常好)
01-23;dpuser_22654649369;朋友推荐的地方，今天北京零下14度，“生死之交”地我们来啦！真的是太美味啦！那个牛肉和猪耳朵太好吃了！;口味4(非常好);环境3(很好);服务4(非常好)
01-23;明清秋雨;很早之前在enjoy上买过陌生人饭局，直到现在才想起来写点评。非常非常隐蔽的一家湖南菜，内部装潢非常有情调。因为是陌生人饭局，所以是在二楼的小包间里。菜色种类非常丰富，几乎所有招牌都摆了出来。其中不乏有北方不常见的叫不出名字的菜。辣度十足，很喜欢湘菜那种在一盘辣椒里挑肉挑菜吃的感觉，无论是猪脚还是鱼蟹还是小炒肉，都非常够味。湖南特色粉自然少不了，有干的有汤的，配料丰富味道鲜美。美中不足就是，所有的菜都非常咸，加上我自己口味清淡，所以更吃不下。值得一提的是他家的米酒非常好喝，甜甜的不会呛，但是后劲大。总之还是很推的一家小资小店。;口味3(很好);环境4(非常好);服务4(非常好)
01-22;julian0880;味道很好，就是没暖气，会有点冷，如果是春光明媚的天气座在2层小楼上吃一顿还是挺美的;口味4(非常好);环境3(很好);服务4(非常好)
01-22;十四……;好文艺的小店～而且图真的是相当良心真实呢！好评～果断给了舍友一发安利～;口味4(非常好);环境4(非常好);服务4(非常好)
01-22;zhaoyun35;出乎意料的好吃！！每个礼拜都想去;口味4(非常好);环境4(非常好);服务4(非常好)
01-21;明空的繁荣;就在单位附近，一直想去，同事来了好几次，都说好，这次聚会就选在这了。我们人多，提前定了2楼，超辣。那个牛肉特别好吃，很香，其他的就是光辣，菜量稍少，每人必备一碗米饭，整体不错，二楼环境好，适合多人聚会。;口味2(好);环境4(非常好);服务3(很好)
01-21;cjysdny;小店，精致，仅有一个包房因为实在太小了，但是菜品都是一流的棒！;口味3(很好);环境4(非常好);服务4(非常好)
01-21;siwen0202;朋友推荐的湘菜。环境气氛超一流，很有品味，看起来很干净。座位有点少，建议先预约。服务生是小伙子，不算热情。菜单很有风格，但是种类不多。l擂皮蛋最好吃，太惊艳了，但是真的辣啊！不会吃辣的要小心了，炒牛肉也很香，但是肉有点少。黄鸭叫非常好吃，鱼很嫩，量也很大，非常鲜美。豆腐干挺不错的，第一次吃湘菜，感觉非常好。;口味4(非常好);环境4(非常好);服务2(好)
01-21;coffeebean070716;每次来都不会失望，米粉我认为是北京最好吃的。;口味4(非常好);环境4(非常好);服务4(非常好)
01-19;Mr后醒;再也不去了 老板一到六点半后就不接待 要不是为了吃 谁会大晚上跑到巷子吃你们家菜 菜好吃 但是服务态度实在太心寒 几个年轻人做的 赶紧关门 回家歇了吧 公子们！！！;口味4(非常好);环境4(非常好);服务0(很差)
01-16;Tumbler_2941;小资的一个地方，正宗的湖南菜，贵，菜量小;口味3(很好);环境3(很好);服务3(很好)
01-15  更新于16-01-15 12:37;律彤;点了油渣上海青、风秘牛肉、擂辣椒皮蛋、干豆角腊肉、卤粉、卤豆干，味道都不错，就是第二天嗓子不行了，也没喝到胡子酒;口味3(很好);环境3(很好);服务3(很好)
01-15;bettyleung;和朋友去杨梅竹斜街喝茶，想起最近渔芙南介绍挺多的，于是就去了。味道不错，就是太咸了！;口味3(很好);环境3(很好);服务3(很好)
01-13;野咩咩;老板一副牛逼哄哄的样子，一脸不屑地说着不招待了，不做菜了。;口味0(很差);环境0(很差);服务0(很差)
01-13;会员2064651;菜还行，第二次来了，但冬天木有卫生间，要去外面胡同里的，够冻。室内无空调，吃德寒心。冬天怕冷的别来吧！;口味4(非常好);环境2(好);服务4(非常好)
01-13;gracezhang_79;店不大，幸好电话约了下，好吃，就是辣啊……;口味4(非常好);环境4(非常好);服务4(非常好)
01-11;筱一_HANA;上次去铃木等位就出来在杨梅竹斜街溜达 便遇见了这家小店，店里位置很少 但是有二层。服务员清一色的蓝孩纸哈哈哈～辣辣辣 都很辣 喜欢这种后劲儿上来的辣～听说只有一个厨子 所以上菜速度也很慢 但是什么都阻挡不了我一个吃货的心！;口味3(很好);环境3(很好);服务2(好)
01-11  更新于16-01-11 22:44;dpuser_8354652574;菜不錯，價格也還可以。老板和***似的，臉上寫上幾個字：老子的菜很牛逼，愛吃不吃。因為菜不錯，就忽略了***老板的態度，還在想可能那天心情不太好，誰知道去了三次三次都是那個逼樣，從沒有過的非常差的用餐經歷！請注意這是在做生意！不是演偶像劇！沒人願意看你那裝屌的碧蓮。;口味3(很好);环境2(好);服务0(很差)
01-11;luckydog_4464;非常好，环境味道都不错，去了不会后悔的，但是要一定要提前预约，提前预约，提前预约，提前预约，提前预约，提前预约，提前预约，提前预约。然后就是菜品有点辣，怕辣的人要慎重了。连米饭都很好吃。很好很好的湘菜馆。;口味4(非常好);环境4(非常好);服务4(非常好)
01-10  更新于16-01-10 12:20;freyajello;需要提前订位，周六下午四点多打电话最早那拨已经排到七点了，想来要趁早啊。小店有两层，一层桌子以小桌和小桌拼大桌为主，比较狭小，但是饭桌率很高，饭点更是火爆。刚去过凤凰，觉得那的湘菜普遍不太正宗，专门来渔芙南寻觅正宗湘味，果然没有失望。劲辣十足，看着不辣，后劲实在是太爽了，超下饭。适合三两好友小聚，菜挺有分量的，俩女生贪心点了四个菜，简直肚歪。另外小哥秀气养眼手脚利索服务周到，赞一个。;口味4(非常好);环境4(非常好);服务3(很好)
01-10;安宁_1631;第二次来了 最赞的是菜品 很赞的是环境 赞赞的是店家的真诚。愿望是多来几次直到把你们家的每一个菜都吃一遍哈哈哈哈哈。;口味4(非常好);环境4(非常好);服务4(非常好)
01-09;无眠黑夜是吃货;上菜那叫一个慢，等45分钟算少的，基本一小时端上来盘凉菜。人家说只有一口灶。运气好能吃上新鲜的食材，为什么这么说呢，等菜用餐期间，偶尔能看到后厨从附近的菜市场买菜回来—是喜是忧？服务员一个个莫名的优越感，一张白板脸爱答不理的。还没老板热情。夏天就算开了空调，你也会汗流浃背！不懂五星好评都是什么人。;口味2(好);环境1(一般);服务0(很差)
01-08;Echo19830912;秘制牛肉太少了，味道不错；手工丸子就5，6颗但是足够松软糯糯哒我喜欢，卧鸡蛋的数量几乎和丸子一样。总体来说质量口味不错，还是再实惠一点就更好了;口味3(很好);环境3(很好);服务3(很好)
01-08;Jilianmumu;再访杨梅竹斜街，北京老胡同的感觉依然格外亲切。今天的北京天气好得让人感觉不真实，这样的好天气就会想起干净简洁的渔芙南。被老板设计师改造而成、别具特色的胡同老房子里，吃一口火辣辣的湘菜，喝一口三鲜味道十足的纯正湖南米粉，外加一碗几乎是每一粒米都晶莹剔透的白饭，感觉真的很特别！必须说明的是，小店生意好的莫名其妙，想来就餐务必提前预约哦！店员清一色的高颜值小哥，服务态度比起刚开始时好了太多湘食本味，但愿新一年里，渔芙南能够一直如此，越走越好ノ*✲ﾟ;口味4(非常好);环境4(非常好);服务4(非常好)
01-06;害群之神马;特别正宗的湖南菜（衡阳），爱辣者的生命之光。店面规模小，店里比较挤，凳子很奇怪，中间往下凹，有种很“奇妙”的坐在马桶上的感觉……一个厨师加4个服务员，随时爆满，上菜速度可想而知，慢生活吧，每日的食材有限，一定要提前订;口味4(非常好);环境3(很好);服务3(很好)
01-05;tuyatou;新年拔得第一个草，忘记什么时候加到收藏里面的，渐渐淡忘后突然吃到曾经想吃的店还是很惊喜的。很有设计的一家店，一共两层，当天说不能上去就餐，吃过饭后楼上看了眼，一个大桌可以坐下10人左右是聚餐的好地方，当然能吃辣得人聚餐地。擂辣椒皮蛋看到推荐就点了，第一次吃到，端上来得时候不太好看，但捣烂的皮蛋真的很好吃，只是这辣椒好辣好辣，辣椒子还在其中，果断要了碗米饭，只能小口的进食了；黄焖黄辣丁汤汁看起来很诱人，尝了一口不是那种浓郁的味道，可能是第一道上的菜太辣了这道菜感觉没有辣的受不了的感觉了，鱼肉很嫩且刺不是很多；三鲜米粉就尝了一口个人觉得略清淡了，尤其是好多的姜啊挑得我没了好感。;口味3(很好);环境3(很好);服务3(很好)
01-05;joenlmn;藏在楊梅竹斜街裡的湘菜館子。擂辣椒皮蛋做法新穎味道極佳。好吃好吃。;口味4(非常好);环境4(非常好);服务4(非常好)
01-04;ZQ小倩仔;老姐想吃湘菜，在北京也很少吃到满意的湘菜！经朋友介绍来了这里！首先店面真的太小了，门脸完全被忽视，在偏静的小胡同里！菜品还是不错的，可以当天没吃到米粉！服务员的态度有待进一步提升，而且不能刷卡也是一个需要改进的地方！;口味4(非常好);环境4(非常好);服务4(非常好)
01-03;dpuser_71468790822;特别喜欢他家的菜，就是要提前预约;口味4(非常好);环境4(非常好);服务4(非常好)
01-02;taoqingdou;好吃…好吃…菜品味道相当好吃…两个服务员帅哥服务很好…环境略小…但是超级火…辣的很过瘾;口味4(非常好);环境4(非常好);服务4(非常好)
01-02;梵舒;巷子很深的一家，开车的朋友最好停在琉璃厂走进去。小二层，提前预约了地方，但楼上据说是包间有订位了，楼下靠软包座位全满了，只好在过道边的小桌子了。湘菜，有些辣，正和我的口味。风秘牛肉和黄辣丁都很好吃，青椒皮蛋确实卖相欠点儿但味道还可以，只是冰凉冰凉的。青菜钵比较爽口。到店品尝的基本上都是北漂或学生，看起来比较受年轻人欢迎。;口味4(非常好);环境3(很好);服务4(非常好)
15-12-27;星星爱米奇;小小的店面 但是生意却异常的火爆 想来就是味道好 我是不怎么吃湘菜 感觉每道菜都挺辣的 喜欢是毛芋头 猪蹄 卤粉 卤牛肉 掳猪耳朵 白啤口感淡淡的不错 胡子酒喝着像米酒 但是后劲挺大的 去的时候是圣诞节 店里八点半 九点基本就下班了 现在只支持支付宝 微信 现金付款 不能刷卡。餐厅设计感挺强 喜欢吃辣的朋友可以来试试。;口味3(很好);环境4(非常好);服务3(很好)
15-12-26;一蓑烟雨FZ;环境不错，口味偏辣，不过还是挺好吃的;口味3(很好);环境3(很好);服务3(很好)
15-12-26;Bavila;无意间路过的小馆子，觉得外观看起来不错就进来试试。两个人吃，点了卤粉，卤猪耳，味道很足，辣的适度又过瘾。秘制卤蛋排骨，排骨和鹌鹑蛋的大小都刚好一口吃，所以也很入味，搭配米饭很完美。还点了青菜毛芋汤，毛芋烂烂粉粉的，基本都化在汤里了，配清爽的的蔬菜，是前面卤味辣菜之后很适合中和一下味蕾的选择。总之很满意，两个人吃点这些刚刚好，已经推荐给朋友们了;口味4(非常好);环境3(很好);服务4(非常好)
15-12-25;yuki1318;上菜速度太慢，服务一般，菜味可以偏辣;口味2(好);环境2(好);服务2(好)
15-12-24;尹赛啦;好喜欢！着重推荐风秘牛肉！不过店铺有点难找，历尽了艰难险阻，战胜了很多条路边的狗才找到;口味4(非常好);环境4(非常好);服务4(非常好)
