time;user;text;score1;score2;score3
02-24;bz活在当下;口味非常好！赞！都很好吃，炒的很好;口味4(非常好);环境4(非常好);服务4(非常好)
02-20;洋洋妈妈120913;好吃，烤鸭便宜又好吃，比那些有名的店好吃多了！本地人来吃的好多！;口味4(非常好);环境4(非常好);服务4(非常好)
02-20;Gnawwang;味道好，价格便宜、就是食材新鲜度一般;口味4(非常好);环境3(很好);服务3(很好)
02-20  更新于16-02-20 11:19;树懒的青春;来北京当然要吃烤鸭了，从前门进去的，路上到处都是烤鸭店，光全聚德就看到好多家，看评论说全聚德都是外地人吃的，性价比不高，所以综合选择了这家有很多北京人吃的老店，从大栅栏一直往前走，过个马路对面那条街上走一会看见蓝色复古门楼就是了，烤鸭是一盘皮沾白糖，一盘肉，一盘皮肉相连，味道很不错！！北京烤鸭果然棒棒的，凉拌蕨根粉也是强烈推介，很好吃，他们家菜量也挺多的，性价比很高！;口味3(很好);环境3(很好);服务3(很好)
02-18;懒懒XPY;来北京旅游，有三顿都在这吃。所有菜品都非常OK！烤鸭比全聚德好吃多了，分量也很足，价格才128一只，鸭架可做汤或者椒盐，加工费10元。平均一款菜式25-30元，经济实惠。三顿饭差不多把菜式都吃遍了，没有一个开挑剔的！希望来旅游的朋友都来这尝尝！还有一点就是服务态度不错，很热情，每样菜式都介绍得很清楚。非常值得推荐;口味4(非常好);环境2(好);服务4(非常好)
02-17;dpuser_13682130040;烤鸭不亚于全聚德 炒菜推荐 人好多呀 实惠;口味4(非常好);环境4(非常好);服务4(非常好)
02-17;icey1230;亲民的价格，地道的烤鸭，绝对值得推荐。凉菜也很有特色，老北京拌菜爽口、水晶山楂超赞，还有芥末鸭掌一定要尝尝，油炸小黄鱼，宫保鸡丁都是值得推荐的，量十足。;口味4(非常好);环境4(非常好);服务4(非常好)
02-16;夺命丿罐头鱼丨;好吃，狮子头超大，分量足，好！;口味4(非常好);环境4(非常好);服务4(非常好)
02-16  更新于16-02-16 12:40;咪咕爱美食;在这家店吃了有十多年了，第一次写点评。家里老人住在附近，所以每年都会到这里聚餐。年夜饭也基本都是在这吃的。餐馆开在大栅栏里，新装修过的牌坊显得中式味道浓厚，很多游客和外国友人也都慕名而来。菜量大，价格实惠，味道也好。每次来这里都是一顿饕餮。餐厅里面不大，虽然有三层，但房间有点低矮，包间过节时候经常订不到，年夜饭都是提前一年就要定。包间装修的也一般，有的还不是独立的包间。一个大包房里有2-3个大桌，因为离家近，而且附近胡同里很多老人住在这里，所以能看到很多大家庭都是带着老人一大家子来这里吃饭，气氛还不错，热闹。烤鸭是每次的必点菜，值得一尝。;口味3(很好);环境3(很好);服务3(很好)
15-09-27  更新于16-02-15 16:25;天棚元帅;一到节假日，人便超多，11:30就开始等位子，幸亏早早就订了包间，没订到最大包间，只能分成两十人桌吃,菜偏油腻，可能和点的菜有关系吧……铁板茄子油汪汪的，可以当镜子照了;凉拌丝瓜尖醋放的太多了，酸，不好吃……铁板羊肉要在香菜丛中寻羊肉，玩藏猫猫呢……干锅肥肠还凑合，但是肥肠里面的油多，没有处理；锡纸鲈鱼炸的虽然火候不错，但是酱汁调的欠缺，缺乏鲜味……蓝莓山药脆口，蓝莓酱调的浓度适中，表扬；蛋黄南瓜选料不好，南瓜没有甜味；松仁玉米做的规规矩矩，无功无过……要了一套烤鸭，吃完了，也不见烤鸭上桌........算了，退了吧……;口味2(好);环境1(一般);服务1(一般)
02-13;卢尐晔;以前去还可以，今儿本来想预订个桌，打电话过去接电话的人服务态度太差，我们6个人说5点去，他非说不现在来没桌了，我说打电话不就是预定的嘛，他非说6个人不给定，最低8人才行，我说那就8个人，他说你要8个人那就没地儿，都满了，我要他叫经理，他说叫谁来也没用！……都是街里街坊的，这地儿以后还怎么叫人去，太失望了;口味2(好);环境2(好);服务0(很差)
02-09;龚宋;烤鸭性价比真心不错，有老北京的味道;口味4(非常好);环境4(非常好);服务4(非常好)
02-09;星空格距;烤鸭比较好吃，就是饭点人太多了。;口味4(非常好);环境4(非常好);服务4(非常好)
02-08;treelin121;就在住的酒店对面，网评不错，所以来体验。果然没让我们失望。十二点到店已经有很多食客了。点了烤鸭和两个菜，鸭架做了椒盐，烤鸭皮一盘，肉一盘，皮肉一盘，很精致。两大一小三口人没吃完。本着不浪费的精神打包了，很满足的一餐。;口味4(非常好);环境4(非常好);服务4(非常好)
