time;user;text;score1;score2;score3
02-26;步步高升、节节高;位置挺好找的，价格还好，服务一般般;口味3(很好);环境3(很好);服务3(很好)
02-25;bilang412;环境不错，服务一般，不叫服务员不知道她人在哪？海参888元一大盘，我觉得没有收拾干净，还有别的味道，没吃出来888元的味道，那个鸡肉什么味道都没有，太淡了，，山药还没有普通饭馆的蓝莓山药好吃呢，田七做的淡淡的;口味1(一般);环境4(非常好);服务3(很好)
02-23;youyou9390;老店，传统菜，价格上涨了…… 适合老人过寿。;口味3(很好);环境3(很好);服务3(很好)
02-22;ElaineCJ;老字号，口味是一流的（鲁菜偏咸），服务是国企级的。;口味4(非常好);环境3(很好);服务3(很好)
02-22  更新于16-02-22 20:02;365chang;老字号，气派的很，葱烧海参，不错，干炸丸子最好吃了，大虾也特别大个，烤馒头，算是丰泽园的一大特色吧，长的烤馒头里面有惊喜，乌鱼蛋汤，像酸辣汤，九转大肠，喜欢吃这口的说特别好吃，干烧黄鱼，不错，那个豆腐也不错，还有好多菜，图片只能放九张，就不放图片了也就不点评了家庭聚会，婚宴，生日宴选丰泽园不会错哒;口味4(非常好);环境4(非常好);服务4(非常好)
02-22;xhlang;我们到达丰泽园的时间已经近下午1点，等位的人不少，节日的气氛依然很浓。因为是老字号，当然先尝尝它的代表菜，投石问路吗！【糟熘比目鱼片】这道菜我过去在其他老字号也品尝过，可以说这家店的味道非常地道，黄酒与醪糟的比例刚好，我本不喜欢酒糟的口味，这次都忍不住吃了起来。从这道菜开始，我慢慢体会到它家的每道菜很少使用味精这样的添加剂，因为菜品的美味不是在舌尖，而是充满整个口腔。【酱爆鸡丁核桃仁】这个菜给我印象最深的是酱汁包裹鸡肉均匀，盘子上没有留下任何痕迹，说明厨师的技艺高超，黄瓜铺底，葱丝点缀，既美观又实惠，增味去腻。我们点了半份，刚刚好。【宫保鸡丁】与峨嵋酒家的口味稍有不同，甜度稍逊峨嵋，地道鲁菜口味，不错。【红烧牛肉蹄筋】无论从色泽、口味还是蹄筋的软烂程度，都是无可挑剔的，是一道老少皆宜的菜品。唯一的遗憾是辅料香菇的泡发不到位，缺少一道手续（师傅们应该知道，哈哈），所以香菇很硬，待改进。【虾肉炒饭】首先虾仁没有碱发的异味，青豆处理恰到好处，鸡蛋好似柴鸡蛋的感觉，至于米饭更是松散绵软，口感极佳，没有味精的添加让人回想起过去的老味道！赞【环境与服务】地理位置优越，珠市口大街很醒目的位置，停车场有三十左右的停车位（用餐免费），有些紧张。内部装修以中式风格呈现，这里不多赘述，与我们食客相关的是卫生间的管理，卫生间不豪华，但该有的全部具备，比如纸巾、皂液，尤其是地面非常干净，可见工作人员很勤快，让食客们很舒服！还有就是这家的服务也非常到位，领位员是位小姑娘，她从接待我们开始到点菜，很有礼貌，并未因已到用餐尾声而有所懈怠，点菜时还提示我们菜量够了，谢谢她，同时我们也对其他服务人员的服务加以肯定，从他们身上我们看到老字号的希望。今后我们还会再来品尝其他菜品佳肴。;口味4(非常好);环境4(非常好);服务4(非常好)
02-22;paradise0619;老字号，总体挺好的，价格略高，最喜欢吃丰泽园的粉蒸肉，没有地方比他再好吃了。有10%的服务费。;口味3(很好);环境4(非常好);服务4(非常好)
02-22;妞姐妈咪;九转大肠和海参三鲜饺子好吃，其他一般。也就是老字号;口味3(很好);环境3(很好);服务3(很好)
02-21;璐_路;传统老字号，两广路与煤市街的交汇路口的西北角，山东口味，中意这味道很多年了。这次来点了葱烧海参，量足且味道依旧。干烧黄鱼甜而不腻。炸烹虾肉，焦溜丸子味道也挺好的。适合家人聚餐，很多老年人比较认可的老字号，现在还有会员卡，每次消费可以返积分，下次还可以用积分抵现金使用，很值很不错的，建议使用哦。;口味4(非常好);环境3(很好);服务4(非常好)
02-21;喵仔粥粥酱;太贵了 我吃不出好坏 我爸觉得好 还是外卖的烤馒头好吃 哈哈;口味2(好);环境3(很好);服务2(好)
