time;user;text;score1;score2;score3
02-23;wjh4446;馋卤煮了，正好在前门附近，搜了一下点评选中这家，只能说比较失望，材料量少味道也一般;口味2(好);环境2(好);服务3(很好)
02-23;累道累1981;过年期间来北京小逛，主要就是为了美食而来，特色小吃首推卤煮火烧，由于过年好多店家都没营业，看到这家老门框还是比较有名的就决定进去试一试，一进门就是一口大锅热气腾腾的，卤煮挺入味的，也很软烂，大肠很干净，火烧是面饼一样的，很瓷实，总体来说挺好吃的，后来又吃了一家对比来说这家更好吃。;口味3(很好);环境2(好);服务2(好)
02-20;bossli1985;和同事一起来的，点了招牌的卤煮火烧，爆肚和炸酱面。味道一般，生意太好。名气更多点吧！;口味3(很好);环境2(好);服务3(很好)
02-10;wenjianyun;我是北京人，带着外地的朋友游前门去了这家，卤煮火烧真不怎么样，贵的20元的都不行，爆肚都不新鲜，我是不会再去了;口味1(一般);环境1(一般);服务2(好)
01-23;dpuser_28559143317;很坑爹，味道很一般，希望大家仔细考虑点评网的评价的真实性;口味2(好);环境2(好);服务2(好)
01-16;gengggl;不错。味道可以。很入味，稍微咸点，不过卤煮貌似都咸;口味3(很好);环境3(很好);服务4(非常好)
15-12-20;A吗哪A;卤煮，来北京吃到最正宗的卤煮。店面不大，略显陈旧，在小胡同里不起眼的一家小店。但是味道真的很正宗，肥肠没有特别的生腥味，软烂好嚼，火烧也很入味。老板给的量也很大噢！看着这一大锅的卤煮就很有食欲。吃了还想吃，下次一定会再去。;口味4(非常好);环境2(好);服务4(非常好)
15-12-07;玩儿得转;环境都这样，服务没啥，但是是老北京的味道。;口味4(非常好);环境3(很好);服务2(好)
15-12-01;嫩嫩小草文文;与想象中有点距离。价钱偏高，环境还可以;口味2(好);环境2(好);服务2(好)
15-11-08;贪嘴的小蠕蠕虫;还是小时候的味儿！就是烧饼明显多～卤煮越来越少啦！;口味4(非常好);环境2(好);服务4(非常好)
15-10-22;llddhhok;北京的小吃店卤煮是每家必备的，看看那广告照片似乎应该好吃。有一次就到这家去试了试，不料大上其当。原来里面就是一些猪肺加大肠、豆腐干还有面饼。汤的味道倒还可以，就是那猪肺实在吃不惯。颜色是红红的，根本没洗干净。大肠我倒是爱吃，可是就那么几块。爆肚应该也是北京名小吃，可是我一点也没觉得好吃，就是把肚丝汆熟了，给一碟花生酱蘸着吃，蘸料里加了醋，酸的，很难吃。;口味0(很差);环境0(很差);服务0(很差)
15-09-28;去年六月的夏天;这里和东四的卤煮店是我认为最正宗的两家，卤煮、爆肚、炸灌肠……味道真心比鲜鱼口里那些个滥竽充数的强百倍！;口味4(非常好);环境4(非常好);服务4(非常好)
15-09-26;战地有晴天;转了好几圈，也没找到到底哪里是;口味0(很差);环境0(很差);服务0(很差)
15-09-16;lina_2005;9.3阅兵前就想来，就想吃这个卤煮，可是哪里都禁行。于是9月13日星期天，坐地铁来到前门大栅栏里的门框胡同，专程来吃这里的百年卤煮的卤煮火烧！我点了一碗不加火烧的卤煮16元，一盘炸灌肠15元。因为我爱吃肥肠不爱吃火烧，简单说就是一个字：馋，呵呵。卤煮味道香醇，爱吃！炸灌肠焦的恰到好处！赞！吃了这两样后，意犹未尽，问老板是个大姐：能单买肥肠不加其他东西吗？老板说可以，肥肠10元起售，于是我来了20块钱的！这下吃美了！可算是吃痛快了！我是周日下午15:35左右到的，错过用餐高峰时间，店里就我一人，嗨森啊！简直是我VIP包场啊！还让大姐给我一通拍照，感谢！;口味4(非常好);环境4(非常好);服务4(非常好)
15-09-15;三月女王Amanda;等隔壁烤鸭的时候集体来碗卤煮垫垫~大锅古都着好有食欲，每碗卤煮都加了蒜泥特别喜欢这个味道~想试试论锅的那种卤煮啊~;口味2(好);环境1(一般);服务2(好)
15-09-01;丁丁Kate;都写的老门框卤煮 其实就是原来门框胡同里的店家 当时火的时候 估计一条胡同里也不止一家 所以现在也没啥正宗一说 这家店真的 应该还算正宗 但经营的明显也不是北京人了 门口有一口大锅 里面咕嘟煮着各种配料 店面环境真心一般 倒是保留了原来的脏旧 墙上就是宣传也是菜单 服务员也不用记单 你点的反正都会给你上就是了卤煮火烧（18）：加肠25 一般的就够吃 肠不少 味道还不错 不腥 就是大蒜放的太多 丢弃了一些 偶尔会有老北京来吃 都觉得味道已经不是原来的样了 不过对于我们吃着就不错麻豆腐（15）：正宗应该是羊油的 味道不错店里都是老北京的黑白照片 好像是还有个2楼 但那楼梯陡的窄的肯定不想爬 门口不时有旅游的经过 都会好奇驻足问老板这是什么 其实老板好好解释一下多好 还能发扬一下北京特色 无奈老板也是被问的多了 都爱答不理的= =;口味2(好);环境1(一般);服务1(一般)
15-07-31;刘hui君;口味好吃，从来不吃这种东西，可这家的卤煮在北京期间去吃过3次。没有怪味儿，干净。;口味4(非常好);环境2(好);服务2(好)
